gene_symbol,reference_gene_id
Nfrkb,ENSRNOG00000008278
Nfx1,ENSRNOG00000009015
Nfxl1,ENSRNOG00000058588
Nfya,ENSRNOG00000012702
Nfyb,ENSRNOG00000010309
Nfyc,ENSRNOG00000010735
Nhlh1,ENSRNOG00000005166
Nhlh2,ENSRNOG00000054375
Nkrf,ENSRNOG00000061989
Nkx1-1,ENSRNOG00000005113
Nkx1-2,ENSRNOG00000017006
Nkx2-1,ENSRNOG00000008644
Nkx2-2,ENSRNOG00000012728
Nkx2-3,ENSRNOG00000016656
Nkx2-4,ENSRNOG00000012647
Nkx2-5,ENSRNOG00000020747
Nkx2-6,ENSRNOG00000021910
Nkx2-8,ENSRNOG00000022970
Nkx3-1,ENSRNOG00000015477
Nkx3-2,ENSRNOG00000060782
Nkx6-1,ENSRNOG00000002149
Nkx6-2,ENSRNOG00000017748
Nkx6-3,ENSRNOG00000018147
Nme2,ENSRNOG00000002671
Nobox,ENSRNOG00000025720
Noto,ENSRNOG00000037863
Npas1,ENSRNOG00000015376
Npas2,ENSRNOG00000013408
Npas3,ENSRNOG00000068162
Npas4,ENSRNOG00000020009
Nr0b1,ENSRNOG00000003765
Nr0b2,ENSRNOG00000007229
Nr1d1,ENSRNOG00000009329
Nr1d2,ENSRNOG00000046912
Nr1h2,ENSRNOG00000019812
Nr1h3,ENSRNOG00000013172
Nr1h4,ENSRNOG00000007197
Nr1h5,ENSRNOG00000023073
Nr1i2,ENSRNOG00000002906
Nr1i3,ENSRNOG00000003260
Nr2c1,ENSRNOG00000006983
Nr2c2,ENSRNOG00000010536
Nr2e1,ENSRNOG00000050550
Nr2e3,ENSRNOG00000050690
Nr2f1,ENSRNOG00000014795
Nr2f2,ENSRNOG00000010308
Nr2f6,ENSRNOG00000016892
Nr3c1,ENSRNOG00000014096
Nr3c2,ENSRNOG00000034007
Nr4a1,ENSRNOG00000007607
Nr4a2,ENSRNOG00000005600
Nr4a3,ENSRNOG00000005964
Nr5a1,ENSRNOG00000012682
Nr5a2,ENSRNOG00000000653
Nr6a1,ENSRNOG00000013232
Nrf1,ENSRNOG00000008752
Nrl,ENSRNOG00000018528
Nsd2,ENSRNOG00000038140
Obox1,ENSRNOG00000066811
Obox2,ENSRNOG00000032891
Obox2,ENSRNOG00000069076
Olig1,ENSRNOG00000028648
Olig2,ENSRNOG00000028658
Olig3,ENSRNOG00000064127
Onecut1,ENSRNOG00000008095
Onecut2,ENSRNOG00000052665
Onecut3,ENSRNOG00000068848
Osr1,ENSRNOG00000004210
Osr2,ENSRNOG00000011136
Otp,ENSRNOG00000010560
Otx1,ENSRNOG00000065081
Otx2,ENSRNOG00000065063
Ovol1,ENSRNOG00000020669
Ovol2,ENSRNOG00000006850
Ovol3,ENSRNOG00000062751
Parp12,ENSRNOG00000008196
Patz1,ENSRNOG00000018709
Pax1,ENSRNOG00000024882
Pax2,ENSRNOG00000014253
Pax3,ENSRNOG00000013670
Pax4,ENSRNOG00000008020
Pax5,ENSRNOG00000024729
Pax6,ENSRNOG00000004410
Pax7,ENSRNOG00000018739
Pax8,ENSRNOG00000026203
Pax9,ENSRNOG00000065348
Paxbp1,ENSRNOG00000002036
Pbrm1,ENSRNOG00000028227
Pbx1,ENSRNOG00000070119
Pbx2,ENSRNOG00000000440
Pbx3,ENSRNOG00000022162
Pbx4,ENSRNOG00000010736
Pdx1,ENSRNOG00000046458
Peg3,ENSRNOG00000014791
Pgr,ENSRNOG00000006831
Phb,ENSRNOG00000046799
Phox2a,ENSRNOG00000019706
Phox2b,ENSRNOG00000051929
Phtf1,ENSRNOG00000019785
Pias1,ENSRNOG00000034272
Pias2,ENSRNOG00000017493
Pias3,ENSRNOG00000021218
Pias4,ENSRNOG00000020230
Pitx1,ENSRNOG00000011423
Pitx2,ENSRNOG00000010681
Pitx3,ENSRNOG00000019194
Pknox1,ENSRNOG00000001184
Pknox2,ENSRNOG00000028856
Plag1,ENSRNOG00000008846
Plagl1,ENSRNOG00000025587
Plagl2,ENSRNOG00000010086
Plek,ENSRNOG00000005214
Plscr2,ENSRNOG00000008048
Pms1,ENSRNOG00000004076
Pou1f1,ENSRNOG00000000715
Pou2f1,ENSRNOG00000003581
Pou2f2,ENSRNOG00000055650
Pou2f3,ENSRNOG00000009118
Pou3f1,ENSRNOG00000047686
Pou3f2,ENSRNOG00000063836
Pou3f3,ENSRNOG00000038909
Pou3f4,ENSRNOG00000002784
Pou4f1,ENSRNOG00000060662
Pou4f2,ENSRNOG00000012167
Pou4f3,ENSRNOG00000018842
Pou5f1,ENSRNOG00000046487
Pou6f1,ENSRNOG00000004595
Ppara,ENSRNOG00000021463
Ppard,ENSRNOG00000000503
Pparg,ENSRNOG00000008839
Prdm1,ENSRNOG00000000323
Prdm10,ENSRNOG00000007853
Prdm11,ENSRNOG00000008674
Prdm12,ENSRNOG00000009218
Prdm13,ENSRNOG00000007683
Prdm14,ENSRNOG00000021792
Prdm15,ENSRNOG00000001620
Prdm16,ENSRNOG00000045913
Prdm2,ENSRNOG00000033522
Prdm4,ENSRNOG00000004962
Prdm5,ENSRNOG00000023679
Prdm6,ENSRNOG00000030486
Prdm8,ENSRNOG00000002004
